Sample,Date,Latitude,Longitude,Depth,Temperature,Salinity,Oxygen,Nitrate,Nitrogen Dioxide,Phosphate,Nitrate/Nitrite,Silicate,Size fraction lower threshold,Size fraction upper threshold
TARA_067_SRF_0.45-0.8,9/7/10 6:35,-32.23,17.71,5.5,12.8,34.8,249.4,0.4,0.17,1.02,7.09,13.88,0.45,0.8
TARA_068_DCM_<-0.22,9/14/10 9:14,-31.03,4.69,40.3,16.8,35.7,231.7,,0.29,0.23,1.08,2.44,,0.22
TARA_068_DCM_0.22-0.45,9/14/10 9:14,-31.03,4.69,40.3,16.8,35.7,231.7,,0.29,0.23,1.08,2.44,0.22,0.45
TARA_068_DCM_0.22-3,9/14/10 9:14,-31.03,4.69,40.3,16.8,35.7,231.7,,0.29,0.23,1.08,2.44,0.22,3.0
TARA_068_DCM_0.45-0.8,9/14/10 9:14,-31.03,4.69,40.3,16.8,35.7,231.7,,0.29,0.23,1.08,2.44,0.45,0.8
TARA_068_MES_0.22-3,9/13/10 14:13,-31.04,4.64,722.7,7.0,34.5,195.2,25.8,0.0,1.53,22.08,12.08,0.22,3.0
TARA_068_MES_0.45-0.8,9/13/10 14:13,-31.04,4.64,722.7,7.0,34.5,195.2,25.8,0.0,1.53,22.08,12.08,0.45,0.8
TARA_068_SRF_<-0.22,9/14/10 9:14,-31.03,4.69,5.4,16.8,35.7,231.9,,0.25,0.23,1.3,2.6,,0.22
TARA_068_SRF_0.22-0.45,9/14/10 9:14,-31.03,4.69,5.4,16.8,35.7,231.9,,0.25,0.23,1.3,2.6,0.22,0.45
TARA_068_SRF_0.22-3,9/14/10 9:14,-31.03,4.69,5.4,16.8,35.7,231.9,,0.25,0.23,1.3,2.6,0.22,3.0
TARA_068_SRF_0.45-0.8,9/14/10 9:14,-31.03,4.69,5.4,16.8,35.7,231.9,,0.25,0.23,1.3,2.6,0.45,0.8
TARA_007_DCM_0.22-1.6,9/23/09 16:52,37.04,1.95,41.7,17.4,,,,0.0,0.01,0.03,0.5,0.22,1.6
TARA_007_SRF_0.22-1.6,9/23/09 15:06,37.02,1.95,7.5,23.8,37.5,,,0.0,0.06,0.03,0.52,0.22,1.6
TARA_070_MES_<-0.22,9/22/10 10:38,-20.37,-3.22,791.6,4.2,34.4,161.7,37.8,0.01,2.52,36.73,44.86,,0.22
TARA_070_MES_0.22-0.45,9/22/10 10:38,-20.37,-3.22,791.6,4.2,34.4,161.7,37.8,0.01,2.52,36.73,44.86,0.22,0.45
TARA_070_MES_0.22-3,9/22/10 10:38,-20.37,-3.22,791.6,4.2,34.4,161.7,37.8,0.01,2.52,36.73,44.86,0.22,3.0
TARA_070_MES_0.45-0.8,9/22/10 10:38,-20.37,-3.22,791.6,4.2,34.4,161.7,37.8,0.01,2.52,36.73,44.86,0.45,0.8
TARA_070_SRF_<-0.22,9/21/10 7:05,-20.44,-3.19,5.4,19.8,36.4,215.7,0.2,0.05,0.36,0.99,1.36,,0.22
TARA_070_SRF_0.22-0.45,9/21/10 7:05,-20.44,-3.19,5.4,19.8,36.4,215.7,0.2,0.05,0.36,0.99,1.36,0.22,0.45
TARA_070_SRF_0.22-3,9/21/10 7:05,-20.44,-3.19,5.4,19.8,36.4,215.7,0.2,0.05,0.36,0.99,1.36,0.22,3.0
TARA_070_SRF_0.45-0.8,9/21/10 7:05,-20.44,-3.19,5.4,19.8,36.4,215.7,0.2,0.05,0.36,0.99,1.36,0.45,0.8
TARA_072_DCM_<-0.22,10/5/10 12:42,-8.7,-17.94,95.4,24.1,36.6,194.4,0.2,0.01,0.14,0.04,1.32,,0.22
TARA_072_DCM_0.22-3,10/5/10 12:42,-8.7,-17.94,95.4,24.1,36.6,194.4,0.2,0.01,0.14,0.04,1.32,0.22,3.0
TARA_072_MES_<-0.22,10/6/10 9:59,-8.8,-17.91,792.7,4.7,34.5,143.2,38.4,0.01,2.62,36.98,34.44,,0.22
TARA_072_MES_0.22-3,10/6/10 9:59,-8.8,-17.91,792.7,4.7,34.5,143.2,38.4,0.01,2.62,36.98,34.44,0.22,3.0
TARA_072_SRF_<-0.22,10/5/10 8:10,-8.78,-17.91,5.8,25.0,36.4,199.1,0.3,0.0,0.1,0.02,0.87,,0.22
TARA_072_SRF_0.22-3,10/5/10 8:10,-8.78,-17.91,5.8,25.0,36.4,199.1,0.3,0.0,0.1,0.02,0.87,0.22,3.0
TARA_076_DCM_<-0.22,10/16/10 17:43,-21.05,-35.37,148.0,21.6,36.7,203.8,0.6,0.02,0.04,0.0,0.71,,0.22
TARA_076_DCM_0.22-0.45,10/16/10 17:43,-21.05,-35.37,148.0,21.6,36.7,203.8,0.6,0.02,0.04,0.0,0.71,0.22,0.45
TARA_076_DCM_0.22-3,10/16/10 17:43,-21.05,-35.37,148.0,21.6,36.7,203.8,0.6,0.02,0.04,0.0,0.71,0.22,3.0
TARA_076_DCM_0.45-0.8,10/16/10 17:43,-21.05,-35.37,148.0,21.6,36.7,203.8,0.6,0.02,0.04,0.0,0.71,0.45,0.8
TARA_076_MES_0.22-3,10/17/10 11:01,-20.95,-35.22,792.8,4.7,34.4,192.2,34.6,0.0,0.94,12.08,4.39,0.22,3.0
TARA_076_MES_0.45-0.8,10/17/10 11:01,-20.95,-35.22,792.8,4.7,34.4,192.2,34.6,0.0,0.94,12.08,4.39,0.45,0.8
TARA_076_SRF_<-0.22,10/16/10 10:07,-20.94,-35.2,5.5,23.3,37.1,206.2,0.0,0.0,0.06,0.0,0.81,,0.22
TARA_076_SRF_0.22-0.45,10/16/10 10:07,-20.94,-35.2,5.5,23.3,37.1,206.2,0.0,0.0,0.06,0.0,0.81,0.22,0.45
TARA_076_SRF_0.22-3,10/16/10 10:07,-20.94,-35.2,5.5,23.3,37.1,206.2,0.0,0.0,0.06,0.0,0.81,0.22,3.0
TARA_076_SRF_0.45-0.8,10/16/10 10:07,-20.94,-35.2,5.5,23.3,37.1,206.2,0.0,0.0,0.06,0.0,0.81,0.45,0.8
TARA_078_DCM_0.22-0.45,11/4/10 19:34,-30.15,-43.25,118.3,19.3,36.3,217.1,0.5,0.05,0.0,0.1,0.32,0.22,0.45
TARA_078_DCM_0.22-3,11/4/10 19:34,-30.15,-43.25,118.3,19.3,36.3,217.1,0.5,0.05,0.0,0.1,0.32,0.22,3.0
TARA_078_DCM_0.45-0.8,11/4/10 19:34,-30.15,-43.25,118.3,19.3,36.3,217.1,0.5,0.05,0.0,0.1,0.32,0.45,0.8
